scan_time_utc,ticker,company_name,sec_insider_score,congressional_score,procurement_score,ownership_score,event_intel_score,signal_count,days_since_latest_event,confidence_label,event_tags,top_sources,reason
2026-03-13T16:08:19Z,TSLA,"Tesla, Inc.",2.95,0.0,0.0,0.0,1.18,3,4,Low Event Signal,"form4, insider, unparsed",SEC EDGAR,"recent insider filings, latest event 4 day(s) ago, recent form 4 filing for tsla"
2026-03-13T16:03:18Z,AAPL,Apple Inc.,1.95,0.0,0.0,0.0,0.78,14,15,Low Event Signal,"form4, insider, unparsed",SEC EDGAR,"recent insider filings, latest event 15 day(s) ago, recent form 4 filing for aapl"
2026-03-13T16:04:49Z,BA,BOEING CO,1.95,0.0,0.0,0.0,0.78,28,8,Low Event Signal,"form4, insider, unparsed",SEC EDGAR,"recent insider filings, latest event 8 day(s) ago, recent form 4 filing for ba"
2026-03-13T16:05:09Z,INTC,INTEL CORP,1.95,0.0,0.0,0.0,0.78,11,10,Low Event Signal,"form4, insider, unparsed",SEC EDGAR,"recent insider filings, latest event 10 day(s) ago, recent form 4 filing for intc"
2026-03-13T16:06:03Z,LMT,LOCKHEED MARTIN CORP,1.95,0.0,0.0,0.0,0.78,27,14,Low Event Signal,"form4, insider, unparsed",SEC EDGAR,"recent insider filings, latest event 14 day(s) ago, recent form 4 filing for lmt"
2026-03-13T16:06:59Z,NOC,NORTHROP GRUMMAN CORP /DE/,1.95,0.0,0.0,0.0,0.78,24,10,Low Event Signal,"form4, insider, unparsed",SEC EDGAR,"recent insider filings, latest event 10 day(s) ago, recent form 4 filing for noc"
2026-03-13T16:07:38Z,PLTR,Palantir Technologies Inc.,1.95,0.0,0.0,0.0,0.78,10,9,Low Event Signal,"form4, insider, unparsed",SEC EDGAR,"recent insider filings, latest event 9 day(s) ago, recent form 4 filing for pltr"
2026-03-13T16:08:13Z,RTX,RTX Corp,1.95,0.0,0.0,0.0,0.78,22,18,Low Event Signal,"form4, insider, unparsed",SEC EDGAR,"recent insider filings, latest event 18 day(s) ago, recent form 4 filing for rtx"
2026-03-13T16:18:36Z,NVDA,NVIDIA CORP,10.0,0.0,0.0,0.0,4.0,13,2,Insider Activity Watch,"buy, form4, insider, open_market_sale, parsed, sell, unparsed",SEC EDGAR,"meaningful insider filing activity, latest event 2 day(s) ago, insider selling detected for nvda"
2026-03-13T16:16:52Z,AMD,ADVANCED MICRO DEVICES INC,8.97,0.0,0.0,0.0,3.59,15,7,Insider Activity Watch,"administrative, buy, form4, insider, open_market_sale, option_exercise, parsed, sell, tax_withholding",SEC EDGAR,"meaningful insider filing activity, latest event 7 day(s) ago, insider selling detected for amd"
2026-03-13T16:19:12Z,TSLA,"Tesla, Inc.",8.71,0.0,0.0,0.0,3.48,3,4,Insider Activity Watch,"buy, form4, insider, open_market_sale, option_exercise, parsed, sell",SEC EDGAR,"meaningful insider filing activity, latest event 4 day(s) ago, insider selling detected for tsla"
2026-03-13T16:17:20Z,BA,BOEING CO,7.47,0.0,0.0,0.0,2.99,28,8,Insider Activity Watch,"buy, form4, insider, open_market_buy, open_market_sale, parsed, sell, tax_withholding",SEC EDGAR,"meaningful insider filing activity, latest event 8 day(s) ago, insider selling detected for ba"
2026-03-13T16:18:46Z,PLTR,Palantir Technologies Inc.,7.47,0.0,0.0,0.0,2.99,10,9,Insider Activity Watch,"form4, insider, open_market_sale, option_exercise, parsed, sell",SEC EDGAR,"meaningful insider filing activity, latest event 9 day(s) ago, insider selling detected for pltr"
2026-03-13T16:19:07Z,RTX,RTX Corp,7.47,0.0,0.0,0.0,2.99,23,18,Insider Activity Watch,"buy, form4, insider, open_market_sale, option_exercise, parsed, sell, tax_withholding",SEC EDGAR,"meaningful insider filing activity, latest event 18 day(s) ago, insider selling detected for rtx"
2026-03-13T16:17:59Z,LMT,LOCKHEED MARTIN CORP,7.44,0.0,0.0,0.0,2.98,27,14,Insider Activity Watch,"buy, form4, insider, open_market_sale, option_exercise, parsed, sell, tax_withholding",SEC EDGAR,"meaningful insider filing activity, latest event 14 day(s) ago, insider selling detected for lmt"
2026-03-13T16:18:23Z,NOC,NORTHROP GRUMMAN CORP /DE/,7.42,0.0,0.0,0.0,2.97,24,10,Insider Activity Watch,"buy, form4, insider, open_market_sale, option_exercise, parsed, sell, tax_withholding",SEC EDGAR,"meaningful insider filing activity, latest event 10 day(s) ago, insider selling detected for noc"
2026-03-13T16:16:37Z,AAPL,Apple Inc.,6.5,0.0,0.0,0.0,2.6,14,15,Insider Activity Watch,"administrative, buy, form4, insider, parsed, sell",SEC EDGAR,"meaningful insider filing activity, latest event 15 day(s) ago, insider accumulation detected for aapl"
2026-03-13T16:17:32Z,INTC,INTEL CORP,6.5,0.0,0.0,0.0,2.6,11,10,Insider Activity Watch,"buy, form4, insider, open_market_buy, open_market_sale, option_exercise, parsed, sell, tax_withholding",SEC EDGAR,"meaningful insider filing activity, latest event 10 day(s) ago, insider accumulation detected for intc"
2026-03-15T18:44:15Z,AMD,ADVANCED MICRO DEVICES INC,9.97,0.0,0.0,0.0,3.99,16,2,Insider Activity Watch,"administrative, buy, form4, insider, open_market_sale, option_exercise, parsed, sell, tax_withholding",SEC EDGAR,"meaningful insider filing activity, latest event 2 day(s) ago, insider selling detected for amd"
2026-03-15T18:45:31Z,LMT,LOCKHEED MARTIN CORP,9.97,0.0,0.0,0.0,3.99,28,2,Insider Activity Watch,"buy, form4, insider, open_market_sale, option_exercise, parsed, sell, tax_withholding",SEC EDGAR,"meaningful insider filing activity, latest event 2 day(s) ago, insider selling detected for lmt"
2026-03-15T18:46:11Z,NVDA,NVIDIA CORP,9.2,0.0,0.0,0.0,3.68,13,4,Insider Activity Watch,"buy, form4, insider, open_market_sale, parsed, sell, unparsed",SEC EDGAR,"meaningful insider filing activity, latest event 4 day(s) ago, insider selling detected for nvda"
2026-03-15T18:46:49Z,TSLA,"Tesla, Inc.",8.11,0.0,0.0,0.0,3.24,2,6,Insider Activity Watch,"form4, insider, open_market_sale, option_exercise, parsed, sell",SEC EDGAR,"meaningful insider filing activity, latest event 6 day(s) ago, insider selling detected for tsla"
2026-03-15T18:44:47Z,BA,BOEING CO,7.47,0.0,0.0,0.0,2.99,28,10,Insider Activity Watch,"buy, form4, insider, open_market_buy, open_market_sale, parsed, sell, tax_withholding",SEC EDGAR,"meaningful insider filing activity, latest event 10 day(s) ago, insider selling detected for ba"
2026-03-15T18:46:22Z,PLTR,Palantir Technologies Inc.,7.47,0.0,0.0,0.0,2.99,10,11,Insider Activity Watch,"form4, insider, open_market_sale, option_exercise, parsed, sell",SEC EDGAR,"meaningful insider filing activity, latest event 11 day(s) ago, insider selling detected for pltr"
2026-03-15T18:46:45Z,RTX,RTX Corp,7.47,0.0,0.0,0.0,2.99,23,20,Insider Activity Watch,"buy, form4, insider, open_market_sale, option_exercise, parsed, sell, tax_withholding",SEC EDGAR,"meaningful insider filing activity, latest event 20 day(s) ago, insider selling detected for rtx"
2026-03-15T18:45:57Z,NOC,NORTHROP GRUMMAN CORP /DE/,7.32,0.0,0.0,0.0,2.93,24,12,Insider Activity Watch,"buy, form4, insider, open_market_sale, option_exercise, parsed, sell, tax_withholding",SEC EDGAR,"meaningful insider filing activity, latest event 12 day(s) ago, insider selling detected for noc"
2026-03-15T18:43:56Z,AAPL,Apple Inc.,6.5,0.0,0.0,0.0,2.6,14,17,Insider Activity Watch,"administrative, buy, form4, insider, parsed, sell",SEC EDGAR,"meaningful insider filing activity, latest event 17 day(s) ago, insider accumulation detected for aapl"
2026-03-15T18:44:59Z,INTC,INTEL CORP,6.5,0.0,0.0,0.0,2.6,11,12,Insider Activity Watch,"buy, form4, insider, open_market_buy, open_market_sale, option_exercise, parsed, sell, tax_withholding",SEC EDGAR,"meaningful insider filing activity, latest event 12 day(s) ago, insider accumulation detected for intc"
2026-03-15T18:51:47Z,AMD,ADVANCED MICRO DEVICES INC,9.97,0.0,0.0,0.0,3.99,16,2,Insider Activity Watch,"administrative, buy, form4, insider, open_market_sale, option_exercise, parsed, sell, tax_withholding",SEC EDGAR,"meaningful insider filing activity, latest event 2 day(s) ago, insider selling detected for amd"
2026-03-15T18:52:51Z,LMT,LOCKHEED MARTIN CORP,9.97,0.0,0.0,0.0,3.99,28,2,Insider Activity Watch,"buy, form4, insider, open_market_sale, option_exercise, parsed, sell, tax_withholding",SEC EDGAR,"meaningful insider filing activity, latest event 2 day(s) ago, insider selling detected for lmt"
2026-03-15T18:53:26Z,NVDA,NVIDIA CORP,9.2,0.0,0.0,0.0,3.68,13,4,Insider Activity Watch,"buy, form4, insider, open_market_sale, parsed, sell, unparsed",SEC EDGAR,"meaningful insider filing activity, latest event 4 day(s) ago, insider selling detected for nvda"
2026-03-15T18:54:00Z,TSLA,"Tesla, Inc.",8.11,0.0,0.0,0.0,3.24,2,6,Insider Activity Watch,"form4, insider, open_market_sale, option_exercise, parsed, sell",SEC EDGAR,"meaningful insider filing activity, latest event 6 day(s) ago, insider selling detected for tsla"
2026-03-15T18:52:14Z,BA,BOEING CO,7.47,0.0,0.0,0.0,2.99,28,10,Insider Activity Watch,"buy, form4, insider, open_market_buy, open_market_sale, parsed, sell, tax_withholding",SEC EDGAR,"meaningful insider filing activity, latest event 10 day(s) ago, insider selling detected for ba"
2026-03-15T18:53:36Z,PLTR,Palantir Technologies Inc.,7.47,0.0,0.0,0.0,2.99,10,11,Insider Activity Watch,"form4, insider, open_market_sale, option_exercise, parsed, sell",SEC EDGAR,"meaningful insider filing activity, latest event 11 day(s) ago, insider selling detected for pltr"
2026-03-15T18:53:56Z,RTX,RTX Corp,7.47,0.0,0.0,0.0,2.99,23,20,Insider Activity Watch,"buy, form4, insider, open_market_sale, option_exercise, parsed, sell, tax_withholding",SEC EDGAR,"meaningful insider filing activity, latest event 20 day(s) ago, insider selling detected for rtx"
2026-03-15T18:53:14Z,NOC,NORTHROP GRUMMAN CORP /DE/,7.32,0.0,0.0,0.0,2.93,24,12,Insider Activity Watch,"buy, form4, insider, open_market_sale, option_exercise, parsed, sell, tax_withholding",SEC EDGAR,"meaningful insider filing activity, latest event 12 day(s) ago, insider selling detected for noc"
2026-03-15T18:51:32Z,AAPL,Apple Inc.,6.5,0.0,0.0,0.0,2.6,14,17,Insider Activity Watch,"administrative, buy, form4, insider, parsed, sell",SEC EDGAR,"meaningful insider filing activity, latest event 17 day(s) ago, insider accumulation detected for aapl"
2026-03-15T18:52:25Z,INTC,INTEL CORP,6.5,0.0,0.0,0.0,2.6,11,12,Insider Activity Watch,"buy, form4, insider, open_market_buy, open_market_sale, option_exercise, parsed, sell, tax_withholding",SEC EDGAR,"meaningful insider filing activity, latest event 12 day(s) ago, insider accumulation detected for intc"
